City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
235,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
236,Fortuna,US,60.66,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
237,Soyo,AO,73.94,broken clouds,-6.1349,12.3689,Hotel Mpampa
238,Nokaneng,BW,72.81,clear sky,-19.6667,22.2667,
239,Teguldet,RU,56.16,few clouds,57.3064,88.1667,
241,Mayo,US,83.46,clear sky,38.8876,-76.5119,Resorts Resource Group International
243,Karratha,AU,75.83,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
244,Dikson,RU,46.87,light rain,73.5069,80.5464,
245,Hamilton,US,75.42,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
246,Ostrovskoye,RU,66.52,broken clouds,57.8057,42.2433,Country house Sosnoviy Bor Ostrovtsy
247,Necochea,AR,64.04,few clouds,-38.5473,-58.7368,dyd -mar Hotel
248,Kavieng,PG,81.09,light rain,-2.5744,150.7967,Nusa Island Retreat
249,Faya,SA,73.51,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
250,Poum,NC,69.42,broken clouds,-20.2333,164.0167,Gîte kajeon
251,Bitung,ID,76.05,light rain,1.4451,125.1824,K2 Lembeh
252,Ati,TD,80.47,overcast clouds,13.2154,18.3353,
253,Palasa,IN,82.6,broken clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
255,Flin Flon,CA,76.84,smoke,54.7682,-101.865,Victoria Inn Flin Flon
256,Balabac,PH,82.8,broken clouds,7.9868,117.0645,Sing and Swing Lodge
257,Banjar,ID,80.46,few clouds,-8.19,114.9675,The Hamsa Resort
258,Takoradi,GH,78.3,broken clouds,4.8845,-1.7554,Raybow International Hotel
259,At-Bashi,KG,51.03,broken clouds,41.1702,75.8106,Hostel At-Bashy
260,Taksimo,RU,62.04,clear sky,56.3444,114.8794,"Gostinitsa ""Viktoriya"""
261,Severnyy,RU,77.04,clear sky,50.677,36.5532,Full House North Mini-Hotel
262,Colesberg,ZA,53.82,clear sky,-30.72,25.0972,Bhelekazi Guesthouse
263,Pestretsy,RU,71.74,few clouds,55.7531,49.6545,Hostel-Sport
264,Hastings,GB,71.89,scattered clouds,50.8552,0.5729,Zanzibar Hotel
265,Kaeo,NZ,49.32,clear sky,-35.1,173.7833,Bushido Lodge
266,Kaduqli,SD,75.25,overcast clouds,11.0167,29.7167,فندق الله جابو
267,Beira,MZ,69.89,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
268,Fukue,JP,73.81,moderate rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
269,Dibulla,CO,85.37,overcast clouds,11.2725,-73.3091,Hospedaje Dibulla Beach
270,Walvis Bay,,59.95,few clouds,-22.9575,14.5053,Oyster Box Guesthouse
271,Makat,KZ,82.98,clear sky,47.6469,53.3463,Umit
272,Madimba,TZ,74.7,clear sky,-10.4,40.3333,
273,Namatanai,PG,78.85,light rain,-3.6667,152.4333,Seagulls Inn Namatani
274,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
275,Rudbar,AF,89.6,clear sky,30.15,62.6,
276,Vanavara,RU,52.83,scattered clouds,60.34,102.2797,
278,Sechura,PE,73.65,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
280,Okha,RU,53.62,few clouds,53.5739,142.9478,Империя
